pmid,title,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
25807542,The Unique Chemistry of Eastern Mediterranean Water Masses Selects for Distinct Microbial Communities by Depth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nitrogen (2),-,-
25763031,Plant growth promoting capability and genetic diversity of bacteria isolated from mud volcano and lime cave of Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,phosphate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17902831,Long-range acoustic scattering from a shallow-water mud-volcano cluster.,-,-,-,-,carbonate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19783748,"Molecular Characterization of Potential Nitrogen Fixation by Anaerobic Methane-Oxidizing Archaea in the Methane Seep Sediments at the Number 8 Kumano Knoll in the Kumano Basin, Offshore of Japan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (4),-,-,-,-,-,-,-,-,-,"nitrogen (4), N2 (1)",-,-
24722631,Diverse sulfate-reducing bacteria of the Desulfosarcina/Desulfococcus clade are the key alkane degraders at marine seeps,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,butane (2),-,-,-,-,-,-,-,-,-
22180538,Unsupervised discovery of microbial population structure within metagenomes using nucleotide base composition,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24116017,Methane-Carbon Flow into the Benthic Food Web at Cold Seeps – A Case Study from the Costa Rica Subduction Zone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (1),-,-,-,-,-,-,-,-,-,-,-,-
27536274,"How Clonal Is Clonal? Genome Plasticity across Multicellular Segments of a “Candidatus Marithrix sp.” Filament from Sulfidic, Briny Seafloor Sediments in the Gulf of Mexico",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25384013,Differences in Life-Histories Refute Ecological Equivalence of Cryptic Species and Provide Clues to the Origin of Bathyal Halomonhystera (Nematoda),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24723919,Spatial variations of community structures and methane cycling across a transect of Lei-Gong-Hou mud volcanoes in eastern Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (5),-,-,-,-,-,-,-,-,-,-,-,-
26282449,Multiple visions of Indonesia's mud volcano: understanding representations of disaster across discursive settings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16222294,Geology and insolation-driven climatic history of Amazonian north polar materials on Mars,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17051217,Novel microbial communities of the Haakon Mosby mud volcano and their role as a methane sink,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (5),-,-,-,-,-,-,-,-,-,-,-,-
28396389,Subduction zone forearc serpentinites as incubators for deep microbial life,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29602106,Enrichment of sulfate reducing anaerobic methane oxidizing community dominated by ANME-1 from Ginsburg Mud Volcano (Gulf of Cadiz) sediment in a biotrickling filter,"Sulfate (1), sulfate (1)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (2),-,-,-,-,-,-,-,-,-,-,-,-
29674649,Mud extrusion and ring-fault gas seepage – upward branching fluid discharge at a deep-sea mud volcano,-,-,-,chloride (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (2),-,-,-,-,-,-,-,-,-,-,-,-
19583785,"Molecular characterization of bacteria associated with the trophosome and the tube of Lamellibrachia sp., a siboglinid annelid from cold seeps in the eastern Mediterranean.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (1),-,-,-,-,-,-,-,-,-,-,-,-
22170423,Viral infections stimulate the metabolism and shape prokaryotic assemblages in submarine mud volcanoes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22347218,A System for Incubations at High Gas Partial Pressure,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (1),-,-,-,-,-,-,-,-,-,-,-,-
22882187,Anaerobic oxidation of methane in hypersaline cold seep sediments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"methane (1), Methane (1)",-,-,-,-,-,-,-,-,-,-,-,-
20334908,Colonization of organic substrates deployed in deep-sea reducing habitats by symbiotic species and associated fauna,-,-,-,-,carbonate (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17225386,Acoustic scattering from mud volcanoes and carbonate mounds,-,-,-,-,carbonate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18378658,"Biogeochemistry and Community Composition of Iron- and Sulfur-Precipitating Microbial Mats at the Chefren Mud Volcano (Nile Deep Sea Fan, Eastern Mediterranean)",sulfate (1),-,-,-,-,-,-,-,"Fe(III (1), Fe(II (2)",-,-,-,-,-,-,-,-,-,-,sulfide (2),methane (1),-,-,-,-,-,-,-,-,-,-,-,-
27103730,"Draft Genome Sequence of Methanoculleus sediminis S3FaT, a Hydrogenotrophic Methanogen Isolated from a Submarine Mud Volcano in Taiwan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21656823,"Prokaryotic diversity of an active mud volcano in the Usu City of Xinjiang, China.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (1),-,-,-,-,-,-,-,-,-,-,-,-
29163423,"Microbial Community Composition and Functional Capacity in a Terrestrial Ferruginous, Sulfate-Depleted Mud Volcano",sulfate (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (11),-,-,-,-,-,-,-,-,-,-,-,-
18572272,"Geochemistry of high arsenic groundwater in Chia-Nan plain, Southwestern Taiwan: Possible sources and reactive transport of arsenic",sulfate (1),-,-,-,-,-,-,-,Fe(III (1),-,-,As(III (1),-,-,Mn(IV (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,hydrogen (1),-
22006301,"Early Archean serpentine mud volcanoes at Isua, Greenland, as a niche for early life",-,-,-,-,-,-,-,-,-,"zinc (1), Zinc (1)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24614846,"Methanococcoides vulcani sp. nov., a marine methylotrophic methanogen that uses betaine, choline and N,N-dimethylethanolamine for methanogenesis, isolated from a mud volcano, and emended description of the genus Methanococcoides.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11195584,Microbiological Processes of the Carbon and Sulfur Cycles at Cold Methane Seeps of the North Atlantic,sulfate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (2),-,-,-,-,-,-,-,-,-,-,-,-
23132300,A complex picture of associations between two host mussels and symbiotic bacteria in the Northeast Atlantic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21976991,"Chemosymbiotic bivalves from the mud volcanoes of the Gulf of Cadiz, NE Atlantic, with descriptions of new species of Solemyidae, Lucinidae and Vesicomyidae",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1016954,On the carcinogenic polycyclic aromatic hydrocarbon benzo(a)pyrene in volcano exhausts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28151382,"Pyrobaculum igneiluti sp. nov., a novel anaerobic hyperthermophilic archaeon that reduces thiosulfate and ferric iron",-,-,-,-,-,-,-,-,"Fe(III (1), iron (1)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24172025,A molecular gut content study of Themisto abyssorum (Amphipoda) from Arctic hydrothermal vent and cold seep systems,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17369343,Diversity and Abundance of Aerobic and Anaerobic Methane Oxidizers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (4),-,-,-,-,-,-,-,-,-,-,-,-
25916152,Detection of methane in the water column at gas and oil seep sites in central and southern Lake Baikal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"methane (7), Methane (1)",-,-,-,-,-,-,-,-,-,-,-,-
27881974,The Microbiome and Occurrence of Methanotrophy in Carnivorous Sponges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25393146,Stratified Community Responses to Methane and Sulfate Supplies in Mud Volcano Deposits: Insights from an In Vitro Experiment,sulfate (4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (9),-,-,-,-,-,-,-,-,-,-,-,-
21538105,Diversity and Spatial Distribution of Prokaryotic Communities Along A Sediment Vertical Profile of A Deep-Sea Mud Volcano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (1),-,-,-,-,-,-,-,-,-,-,-,-
17431711,Use of 16S rRNA Gene Based Clone Libraries to Assess Microbial Communities Potentially Involved in Anaerobic Methane Oxidation in a Mediterranean Cold Seep,sulfate (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (4),-,-,-,-,-,-,-,-,-,-,-,-
25384354,Eruption of a deep-sea mud volcano triggers rapid sediment movement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"methane (3), Methane (1)",-,-,-,-,-,-,-,-,CO2 (1),-,-,-
23001649,"Choline and N,N-Dimethylethanolamine as Direct Substrates for Methanogens",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (2),-,-,-,-,-,-,-,-,-,-,-,-
26637468,"Transcription, Signaling Receptor Activity, Oxidative Phosphorylation, and Fatty Acid Metabolism Mediate the Presence of Closely Related Species in Distinct Intertidal and Cold-Seep Habitats",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (3),-,-,-,-,-,-,-,-,-,-,-,-,-
26667806,"A chemosynthetic weed: the tubeworm Sclerolinum contortum is a bipolar, cosmopolitan species",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27807343,Increased methane emissions from deep osmotic and buoyant convection beneath submarine seeps as climate warms,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (4),-,-,-,-,-,-,-,-,-,-,-,-
19770067,Structural characterization of hemoglobins from Monilifera and Frenulata tubeworms (Siboglinids): First discovery of giant hexagonal-bilayer hemoglobin in the former “Pogonophora” group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22739492,Metabolic stratification driven by surface and subsurface interactions in a terrestrial mud volcano,sulfate (3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),"methane (5), Methane (1)",-,-,-,-,-,-,-,-,-,-,-,-
28771029,Methane Seepage on Mars: Where to Look and Why,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Methane (2), methane (5)",-,-,-,-,-,-,-,-,-,-,-,-
28944134,CO2 flux from Javanese mud volcanism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CO2 (10),-,-,-
26394007,Activity and interactions of methane seep microorganisms assessed by parallel transcription and FISH-NanoSIMS analyses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (5),-,-,-,-,-,-,-,-,-,N2 (1),-,-
19709274,Characterization of a photosynthetic Euglena strain isolated from an acidic hot mud pool of a volcanic area of Costa Rica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21148673,"Lutibaculum baratangense gen. nov., sp. nov., a novel proteobacterium isolated from a mud volcano, Andamans, India.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19076636,Characterization of methanogenic and prokaryotic assemblages based onmcrAand 16S rRNA gene diversity in sediments of the Kazan mud volcano (Mediterranean Sea),sulfate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (2),-,-,-,-,-,-,-,-,-,-,-,-
18247739,Near-specular acoustic scattering from a buried submarine mud volcano.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28676800,Atribacteria from the Subseafloor Sedimentary Biosphere Disperse to the Hydrosphere through Submarine Mud Volcanoes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (2),-,-,-,-,-,-,-,-,-,-,-,-
29689781,"Three species of Reteporella (Bryozoa: Cheilostomata) in a diapiric and mud volcano field of the Gulf of Cádiz, with the description of Reteporella victori n. sp.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21480792,Microbial life in a liquid asphalt desert.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (1),-,-,-,-,-,-,-,-,-,-,-,-
15803662,"Novel archaeal macrocyclic diether core membrane lipids in a methane-derived carbonate crust from a mud volcano in the Sorokin Trough, NE Black Sea.",-,-,-,-,carbonate (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21966923,Identification of the dominant sulfate-reducing bacterial partner of anaerobic methanotrophs of the ANME-2 clade.,sulfate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (1),-,-,-,-,-,-,-,-,-,-,-,-
2524938,"[Experience in the multi-modal therapy of acne, including volcano mud applications and cosmetic procedures].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22141749,Microbial methane cycling in a terrestrial mud volcano in eastern Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"methane (6), Methane (1)",-,-,-,-,-,-,-,-,-,-,-,-
21382146,"Methanogenic diversity and activity in hypersaline sediments of the centre of the Napoli mud volcano, Eastern Mediterranean Sea",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (3),-,-,-,-,-,-,-,-,-,-,-,-
12030850,"Microbial community of a saline mud volcano at San Biagio‐Belpasso, Mt. Etna (Italy)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (1),-,-,-,-,-,-,-,-,-,-,-,-
15322951,"Marinobacter alkaliphilus sp. nov., a novel alkaliphilic bacterium isolated from subseafloor alkaline serpentine mud from Ocean Drilling Program Site 1200 at South Chamorro Seamount, Mariana Forearc",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nitrate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-
18956746,[Diversity of halophilic Actinomycetes from mud volcano in Xinjiang].,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26599148,Characteristics of pristine volcanic materials: Beneficial and harmful effects and their management for restoration of agroecosystem.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21879854,"Biogeochemical interactions among the arsenic, iron, humic substances, and microbes in mud volcanoes in southern Taiwan.",sulfate (1),-,-,-,-,-,-,-,iron (1),-,-,"arsenic (2), Arsenic (3)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25855623,"Methanoculleus sediminis sp. nov., a methanogen from sediments near a submarine mud volcano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,acetate (1),formate (1),-,-,-,-,-,-
16958759,Prokaryotic diversity and metabolically active microbial populations in sediments from an active mud volcano in the Gulf of Mexico.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16584470,"Microbiological investigation of methane- and hydrocarbon-discharging mud volcanoes in the Carpathian Mountains, Romania",sulfate (3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (4),-,-,-,-,-,-,-,-,-,-,-,-
19622643,"Belliella pelovolcani sp. nov., isolated from a mud-volcano in Taiwan.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17357396,"[A new species of Euglena (Euglenozoa: Euglenales) isolated from extreme environments in ""boiling mudflats"" of Rincón de la Vieja volcano, Costa Rica].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24631200,Cellular immune responses and phagocytic activity of fishes exposed to pollution of volcano mud.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18707616,"Endosymbioses between bacteria and deep-sea siboglinid tubeworms from an Arctic Cold Seep (Haakon Mosby Mud Volcano, Barents Sea)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (1),-,-,-,-,-,-,-,-,-,-,-,-
22458514,"Methanogenic activity and diversity in the centre of the Amsterdam Mud Volcano, Eastern Mediterranean Sea",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"methane (2), Methane (1)",-,-,-,-,acetate (3),-,-,-,-,-,-,-
9828877,Thermalism in Argentina. Alternative or complementary dermatologic therapy.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18556521,"Two Years On, a Mud Volcano Still Rages--and Bewilders",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27048688,"Effect of high sedimentation rates on surface sediment dynamics and mangrove growth in the Porong River, Indonesia.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25059877,"Draft Genome Sequence of Lutibaculum baratangense Strain AMV1T, Isolated from a Mud Volcano in Andamans, India",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21461912,In vitro evaluation of antioxidant and radioprotective properties of a novel extremophile from mud volcano: implications for management of radiation emergencies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20946529,"A novel, mat-forming Thiomargarita population associated with a sulfidic fluid flow from a deep-sea mud volcano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20656812,"Cesiribacter andamanensis gen. nov., sp. nov., isolated from a soil sample from a mud volcano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22021575,"Lutibaculum baratangense gen. nov., sp. nov., a proteobacterium isolated from a mud volcano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17357397,"[Ultrastructural description of Euglena pailasensis (Euglenozoa) from Rincón de la Vieja volcano, Guanacaste, Costa Rica].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23682146,"Draft Genome Sequence of Cesiribacter andamanensis Strain AMV16T, Isolated from a Soil Sample from a Mud Volcano in the Andaman Islands, India",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16329971,Characterization of a deep‐sea microbial mat from an active cold seep at the Milano mud volcano in the Eastern Mediterranean Sea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (2),-,-,-,-,-,-,-,-,-,-,hydrogen (1),-
17272694,GEOLOGY: Indonesian Mud Volcano Unleashes a Torrent of Controversy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28708168,Portable laser spectrometer for airborne and ground-based remote sensing of geological CO_2 emissions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CO2 (4),-,-,-
29928689,Deep-biosphere methane production stimulated by geofluids in the Nankai accretionary complex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (3),-,-,-,-,-,-,-,-,-,-,-,-
30154496,In situ development of a methanotrophic microbiome in deep-sea sediments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (3),-,-,-,-,-,-,-,-,-,-,-,-
30165492,Steep redox gradient and biogeochemical cycling driven by deeply sourced fluids and gases in a terrestrial mud volcano,sulfate (2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sulfide (1),methane (4),-,-,-,-,-,-,-,-,-,-,-,-
30380493,"Rare earth elements in mud volcano sediments from the Gulf of Cadiz, South Iberian Peninsula",sulfate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (1),-,-,-,-,-,-,-,-,-,-,-,-
31716477,"Report on four deep-water barnacles (Cirripedia, Thoracica) from the north west Pacific, with remarks on Trianguloscalpellum regium (Wyville-Thomson, 1873)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31281306,Deep-Sourced Fluids From a Convergent Margin Host Distinct Subseafloor Microbial Communities That Change Upon Mud Flow Expulsion,Sulfate (1),-,K+ (1),chloride (1),-,-,-,-,-,-,-,-,Li+ (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31639074,"Sulfurimonas crateris sp. nov., a facultative anaerobic sulfur-oxidizing chemolithoautotrophic bacterium isolated from a terrestrial mud volcano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nitrite (1),"nitrate (1), Nitrate (1)",sulfide (1),-,-,-,-,-,-,-,-,-,-,N2 (1),hydrogen (1),-
20370830,"Prokaryotic community structure and diversity in the sediments of an active submarine mud volcano (Kazan mud volcano, East Mediterranean Sea).",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (2),-,-,-,-,-,-,-,-,-,-,-,-
23765889,Substantial13C/12C and D/H fractionation during anaerobic oxidation of methane by marine consortia enrichedin vitro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"methane (3), CH4 (2)",-,-,-,-,-,-,-,-,-,-,-,-
25908706,"Aquipuribacter nitratireducens sp. nov., isolated from a soil sample of a mud volcano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21335391,Archaeal Populations in Hypersaline Sediments Underlying Orange Microbial Mats in the Napoli Mud Volcano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (3),-,-,-,-,-,-,-,-,-,-,-,-
27394559,Two new species of scale worms (Polychaeta: Aphroditiformia) from deep-sea habitats in the Gulf of Cadiz (NE Atlantic),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31705207,"Pelomicrobium methylotrophicum gen. nov., sp. nov. a moderately thermophilic, facultatively anaerobic, lithoautotrophic and methylotrophic bacterium isolated from a terrestrial mud volcano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nitrate (1),-,-,-,-,-,-,-,formate (1),-,-,-,-,hydrogen (1),-
31772218,Discriminative biogeochemical signatures of methanotrophs in different chemosynthetic habitats at an active mud volcano in the Canadian Beaufort Sea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,methane (4),-,-,-,-,-,-,-,-,-,-,-,-
31874397,A chemical and microbial characterization of selected mud volcanoes in Trinidad reveals pathogens introduced by surface water and rain water,sulfate (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31942015,Discharge of deeply rooted fluids from submarine mud volcanism in the Taiwan accretionary prism,-,-,-,chloride (1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31988316,Mud volcanoes and the presence of PAHs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
